"日付け","終値","始値","高値","安値","出来高","前日比%"
"2020年01月20日","8,632.5","8,701.0","8,739.0","8,516.0","-","-0.78%"
"2020年01月19日","8,700.5","8,916.0","9,190.0","8,433.0","-","-2.43%"
"2020年01月18日","8,917.0","8,901.0","8,984.0","8,810.0","-","0.19%"
"2020年01月17日","8,900.5","8,719.5","9,020.0","8,670.5","-","2.08%"
"2020年01月16日","8,719.0","8,816.5","8,854.0","8,586.0","-","-1.11%"
"2020年01月15日","8,817.0","8,835.5","8,916.5","8,578.0","-","-0.23%"
"2020年01月14日","8,837.0","8,105.5","8,900.0","8,105.5","-","9.04%"
"2020年01月13日","8,104.5","8,186.5","8,200.0","8,033.5","-","-1.01%"
"2020年01月12日","8,187.0","8,023.5","8,194.0","7,955.0","-","2.01%"
"2020年01月11日","8,025.5","8,204.0","8,295.0","8,006.5","-","-2.13%"
"2020年01月10日","8,200.5","7,808.0","8,200.5","7,682.0","-","4.99%"
"2020年01月09日","7,810.5","8,045.5","8,046.0","7,741.0","-","-2.93%"
"2020年01月08日","8,046.0","8,155.5","8,462.5","7,880.0","-","-1.35%"
"2020年01月07日","8,156.0","7,757.0","8,213.0","7,741.0","-","5.15%"
"2020年01月06日","7,756.5","7,351.0","7,798.0","7,341.5","-","5.52%"
"2020年01月05日","7,350.5","7,345.0","7,493.5","7,310.0","-","0.08%"
"2020年01月04日","7,344.5","7,335.0","7,399.0","7,258.5","-","0.13%"
"2020年01月03日","7,335.0","6,942.0","7,403.5","6,855.0","-","5.65%"
"2020年01月02日","6,942.5","7,178.5","7,183.0","6,905.5","-","-3.29%"
"2020年01月01日","7,179.0","7,162.5","7,234.5","7,153.0","-","0.22%"
"2019年12月31日","7,163.0","7,218.0","7,298.5","7,115.0","-","-0.77%"
"2019年12月30日","7,218.5","7,381.5","7,382.0","7,201.0","-","-2.21%"
"2019年12月29日","7,381.5","7,298.5","7,524.5","7,272.0","-","1.14%"
"2019年12月28日","7,298.0","7,242.5","7,347.0","7,231.0","-","0.77%"
"2019年12月27日","7,242.0","7,190.5","7,268.0","7,062.0","-","0.72%"
"2019年12月26日","7,190.0","7,194.0","7,436.0","7,142.0","-","-0.06%"
"2019年12月25日","7,194.5","7,249.5","7,260.5","7,113.0","-","-0.75%"
"2019年12月24日","7,249.0","7,311.5","7,416.5","7,155.5","-","-0.86%"
"2019年12月23日","7,312.0","7,509.5","7,690.5","7,264.0","-","-2.63%"
"2019年12月22日","7,509.5","7,140.5","7,534.0","7,122.0","-","5.18%"
"2019年12月21日","7,140.0","7,186.5","7,188.0","7,101.5","-","-0.65%"
"2019年12月20日","7,186.5","7,148.0","7,217.5","7,075.0","-","0.53%"
"2019年12月19日","7,148.5","7,288.0","7,369.0","7,038.5","-","-1.91%"
"2019年12月18日","7,287.5","6,611.5","7,486.0","6,418.0","-","10.22%"
"2019年12月17日","6,611.5","6,873.5","6,932.5","6,537.0","-","-3.80%"
"2019年12月16日","6,873.0","7,107.5","7,170.5","6,822.5","-","-3.30%"
"2019年12月15日","7,107.5","7,060.5","7,202.0","7,011.5","-","0.67%"
"2019年12月14日","7,060.5","7,241.5","7,263.5","7,000.5","-","-2.51%"
"2019年12月13日","7,242.0","7,186.5","7,300.0","7,182.0","-","0.77%"
"2019年12月12日","7,187.0","7,196.5","7,439.0","7,052.0","-","-0.13%"
"2019年12月11日","7,196.5","7,217.5","7,266.5","7,122.0","-","-0.30%"
"2019年12月10日","7,218.0","7,332.0","7,395.0","7,156.5","-","-1.56%"
"2019年12月09日","7,332.5","7,512.0","7,684.0","7,276.5","-","-2.40%"
"2019年12月08日","7,512.5","7,501.0","7,579.0","7,388.0","-","0.15%"
"2019年12月07日","7,501.5","7,539.0","7,630.0","7,479.0","-","-0.49%"
"2019年12月06日","7,538.5","7,391.0","7,636.0","7,297.0","-","1.99%"
"2019年12月05日","7,391.5","7,192.0","7,480.0","7,140.0","-","2.77%"
"2019年12月04日","7,192.5","7,295.0","7,791.5","7,084.0","-","-1.40%"
"2019年12月03日","7,294.5","7,300.5","7,415.5","7,237.5","-","-0.08%"
"2019年12月02日","7,300.5","7,399.0","7,421.0","7,160.0","-","-1.32%"
"2019年12月01日","7,398.5","7,550.0","7,550.0","7,231.5","-","-2.01%"
