2019年03月25日,3903.5,3966,3972.5,3859.5,-,-1.59%
2019年03月26日,3915.5,3903.5,3920,3881.5,-,0.31%
2019年03月27日,4025.5,3916,4041,3910,-,2.81%
2019年03月28日,4009,4026,4026,3991,-,-0.41%
2019年03月29日,4086,4009.5,4097.5,4002,-,1.92%
2019年03月30日,4088,4085.5,4128.5,4021,-,0.05%
2019年03月31日,4091,4090,4098,4074,-,0.07%
2019年04月01日,4132.5,4091.5,4144.5,4036.5,-,1.01%
2019年04月02日,4897.5,4132,5144.5,4128.5,-,18.51%
2019年04月03日,4978.5,4898,5347.5,4785,-,1.65%
2019年04月04日,4910,4979,5085,4780,-,-1.38%
2019年04月05日,5040,4909.5,5071,4885,-,2.65%
2019年04月06日,5043,5041,5242,4890.5,-,0.06%
2019年04月07日,5192,5043,5280,5028,-,2.95%
2019年04月08日,5285.5,5192.5,5341,5133.5,-,1.80%
2019年04月09日,5183.5,5280.5,5284,5140.5,-,-1.93%
2019年04月10日,5321.5,5184,5471,5109,-,2.66%
2019年04月11日,5043.5,5321,5342.5,4961.5,-,-5.22%
2019年04月12日,5076,5038.5,5132,4925,-,0.64%
2019年04月13日,5066,5075.5,5117,5028,-,-0.20%
2019年04月14日,5160,5066.5,5183.5,5010,-,1.86%
2019年04月15日,5024,5159.5,5190.5,4943.5,-,-2.64%
2019年04月16日,5202.5,5024,5324,5013,-,3.55%
2019年04月17日,5227,5202.5,5291,5150.5,-,0.47%
2019年04月18日,5278.5,5227.5,5318,5222,-,0.99%
2019年04月19日,5287.5,5278,5390,5155,-,0.17%
2019年04月20日,5320,5287,5358.5,5251,-,0.61%
2019年04月21日,5295.5,5319.5,5348,5205,-,-0.46%
2019年04月22日,5383,5296,5439.5,5256,-,1.65%
2019年04月23日,5529.5,5382.5,5650,5365,-,2.72%
2019年04月24日,5440,5530,5622,5360,-,-1.62%
2019年04月25日,5119.5,5440.5,5503.5,4960,-,-5.89%
2019年04月26日,5150,5119.5,5272,5042,-,0.60%
2019年04月27日,5161,5149.5,5220,5103,-,0.21%
2019年04月28日,5153.5,5161.5,5212.5,5090,-,-0.15%
2019年04月29日,5141,5153,5190,5060.5,-,-0.24%
2019年04月30日,5264,5140.5,5294,5124.5,-,2.39%
2019年05月01日,5316.5,5263.5,5350,5255.5,-,1.00%
2019年05月02日,5385,5317,5418.5,5305.5,-,1.29%
2019年05月03日,5657.5,5385.5,5800,5356,-,5.06%
2019年05月04日,5769,5657.5,5850,5505,-,1.97%
2019年05月05日,5715.5,5769,5783,5608,-,-0.93%
2019年05月06日,5685,5715.5,5753,5557.5,-,-0.53%
2019年05月07日,5738,5684.5,5975,5684.5,-,0.93%
2019年05月08日,5938.5,5738,6000,5645,-,3.49%
2019年05月09日,6140,5939,6163.5,5930,-,3.39%
2019年05月10日,6341.5,6142,6424,6103.5,-,3.28%
2019年05月11日,7221,6341.5,7459,6341.5,-,13.87%
2019年05月12日,6975.5,7218,7585,6781.5,-,-3.40%
2019年05月13日,7827,6972.5,8177,6863.5,-,12.21%
2019年05月14日,7997.5,7827,8339,7627,-,2.18%
2019年05月15日,8209.5,7997.5,8325,7856,-,2.65%
